DonId,Cause_by_OpenAI,Effect_by_OpenAI,Cause_category_by_OpenAI,Effect_category_by_OpenAI,Raw_Text,Cause_driver_category
2024-DON536,locally within KSA,MERS-CoV infection,regional spread,disease transmission,"Since the first report of MERS-CoV in the Kingdom of Saudi Arabia (KSA) in 2012 until now, human infections have been reported in 27 countries, spanning all six WHO regions. The majority of MERS-CoV cases (2205; 84%), have been reported in KSA, including this newly reported case. The notification of this case does not change the overall risk assessment. The new case reported is believed to have acquired (E1) MERS-CoV infection (E1) locally within KSA.",living conditions (local)
2024-DON536,visited Pakistan,international transmission,travel history,global spread,"However, the potential for (E1) international transmission (E1) is increased due to the fact that the individual visited (C1) Pakistan (C1), while a high-risk contact traveled to (C1) South Asia (C1) within the 14-day follow-up period. Both individuals had arranged their travels prior to the occurrence of the event and before the test results of the case were obtained and disseminated. WHO expects that additional cases of MERS-CoV infection will be reported from the Middle East and/or other countries where (E2) MERS-CoV is circulating in dromedaries (E2). In addition, cases will continue to be exported to other countries by individuals who were exposed to the virus through (C2) contact with dromedaries or their products (C2) (for example, consumption of raw camel milk), or in a (C3) health-care setting (C3).",human travel
2024-DON536,traveled to South Asia,international transmission,travel exposure,global spread,"However, the potential for (E1) international transmission (E1) is increased due to the fact that the individual visited (C1) Pakistan (C1), while a high-risk contact traveled to (C1) South Asia (C1) within the 14-day follow-up period. Both individuals had arranged their travels prior to the occurrence of the event and before the test results of the case were obtained and disseminated. WHO expects that additional cases of MERS-CoV infection will be reported from the Middle East and/or other countries where (E2) MERS-CoV is circulating in dromedaries (E2). In addition, cases will continue to be exported to other countries by individuals who were exposed to the virus through (C2) contact with dromedaries or their products (C2) (for example, consumption of raw camel milk), or in a (C3) health-care setting (C3).",international travel misc.
2024-DON536,contact with dromedaries or their products,MERS-CoV is circulating in dromedaries,animal contact,animal reservoir,"However, the potential for (E1) international transmission (E1) is increased due to the fact that the individual visited (C1) Pakistan (C1), while a high-risk contact traveled to (C1) South Asia (C1) within the 14-day follow-up period. Both individuals had arranged their travels prior to the occurrence of the event and before the test results of the case were obtained and disseminated. WHO expects that additional cases of MERS-CoV infection will be reported from the Middle East and/or other countries where (E2) MERS-CoV is circulating in dromedaries (E2). In addition, cases will continue to be exported to other countries by individuals who were exposed to the virus through (C2) contact with dromedaries or their products (C2) (for example, consumption of raw camel milk), or in a (C3) health-care setting (C3).",Animal
2024-DON536,health-care setting,MERS-CoV is circulating in dromedaries,medical environment,animal reservoir,"However, the potential for (E1) international transmission (E1) is increased due to the fact that the individual visited (C1) Pakistan (C1), while a high-risk contact traveled to (C1) South Asia (C1) within the 14-day follow-up period. Both individuals had arranged their travels prior to the occurrence of the event and before the test results of the case were obtained and disseminated. WHO expects that additional cases of MERS-CoV infection will be reported from the Middle East and/or other countries where (E2) MERS-CoV is circulating in dromedaries (E2). In addition, cases will continue to be exported to other countries by individuals who were exposed to the virus through (C2) contact with dromedaries or their products (C2) (for example, consumption of raw camel milk), or in a (C3) health-care setting (C3).",healthcare misc.
2024-DON536,delays in identifying the infection,Human-to-human transmission of MERS-CoV,diagnostic delays,disease transmission,"Human-to-human transmission of MERS-CoV may occur if there are (C1) delays in identifying the infection (C1), particularly in countries that are not well-acquainted with the disease, as well as (C1) slow triage of suspected cases (C1) and (C1) delays in the implementation of standard infection prevention and control measures (C1). WHO continues to monitor the epidemiological situation and conducts risk assessments based on the latest available information.",healthcare access limitation
2024-DON536,slow triage of suspected cases,Human-to-human transmission of MERS-CoV,delayed response,disease transmission,"Human-to-human transmission of MERS-CoV may occur if there are (C1) delays in identifying the infection (C1), particularly in countries that are not well-acquainted with the disease, as well as (C1) slow triage of suspected cases (C1) and (C1) delays in the implementation of standard infection prevention and control measures (C1). WHO continues to monitor the epidemiological situation and conducts risk assessments based on the latest available information.",healthcare access limitation
2024-DON536,delays in the implementation of standard infection prevention and control measures,Human-to-human transmission of MERS-CoV,control lapses,disease transmission,"Human-to-human transmission of MERS-CoV may occur if there are (C1) delays in identifying the infection (C1), particularly in countries that are not well-acquainted with the disease, as well as (C1) slow triage of suspected cases (C1) and (C1) delays in the implementation of standard infection prevention and control measures (C1). WHO continues to monitor the epidemiological situation and conducts risk assessments based on the latest available information.",healthcare misc.
2024-DON537,high CFR (24-88%),epidemic-prone nature of MVD,mortality rate,disease outbreak,"Marburg virus disease (MVD) is caused by the same family of viruses (Filoviridae) that causes Ebola disease. MVD is an epidemic-prone disease associated with (C1) high CFR (24-88%) (C1). In the early course of the disease, (C2) clinical diagnosis of MVD is challenging to distinguish from other infectious diseases such as malaria, typhoid fever, shigellosis, meningitis, and other viral haemorrhagic fevers (C2).",poverty
2024-DON537,clinical diagnosis of MVD is challenging,difficulty in distinguishing MVD from other infectious diseases,diagnosis challenges,diagnostic challenges,"Marburg virus disease (MVD) is caused by the same family of viruses (Filoviridae) that causes Ebola disease. MVD is an epidemic-prone disease associated with (C1) high CFR (24-88%) (C1). In the early course of the disease, (C2) clinical diagnosis of MVD is challenging to distinguish from other infectious diseases such as malaria, typhoid fever, shigellosis, meningitis, and other viral haemorrhagic fevers (C2).",healthcare misc.
2024-DON537,Healthcare-associated infections,further spread,hospital hygiene,disease spread,"Epidemiologic features can help differentiate between viral hemorrhagic fevers (including history of exposure to bats, caves, or mining) and laboratory testing is important to confirm the diagnosis. The notification of 26 confirmed cases, of which over 70% are healthcare workers from two different health facilities in the country is of great concern. (C1) Healthcare-associated infections (C1) of this disease can lead to (E1) further spread (E1) if not controlled early. The importance of screening all persons entering health facilities as well as inpatient surveillance for prompt identification, isolation, and notification cannot be overemphasized.",economic
2024-DON537,"cases have been reported in districts located at the borders with the Democratic Republic of the Congo, the United Republic of Tanzania, and Uganda",risk of this outbreak spreading to neighbouring countries,border transmission,regional spread,"This is in addition to the importance of contact identification and monitoring of all probable and confirmed cases. The source of the outbreak, geographical extent, the likely date of onset, and additional epidemiological information on cases are still pending further outbreak investigation. There is a (E1) risk of this outbreak spreading to neighbouring countries (E1) since (C1) cases have been reported in districts located at the borders with the Democratic Republic of the Congo, the United Republic of Tanzania, and Uganda (C1). Further (E2) risk of international spread (E2) is also high as (C2) confirmed cases have been reported in the capital city with an international airport and road networks to several cities in East Africa (C2).",country development status
2024-DON537,confirmed cases have been reported in the capital city with an international airport and road networks to several cities in East Africa,risk of international spread,urban spread,global transmission,"This is in addition to the importance of contact identification and monitoring of all probable and confirmed cases. The source of the outbreak, geographical extent, the likely date of onset, and additional epidemiological information on cases are still pending further outbreak investigation. There is a (E1) risk of this outbreak spreading to neighbouring countries (E1) since (C1) cases have been reported in districts located at the borders with the Democratic Republic of the Congo, the United Republic of Tanzania, and Uganda (C1). Further (E2) risk of international spread (E2) is also high as (C2) confirmed cases have been reported in the capital city with an international airport and road networks to several cities in East Africa (C2).",global market pressures
2024-DON537,"Optimized supportive care for patients, which includes careful monitoring, intravenous fluid, and early treatment of complications",patient survival,patient care,patient outcomes,"A contact is known to have travelled internationally, to Belgium, and appropriate response measures have been implemented. Optimized supportive care for patients, which includes careful monitoring, intravenous fluid, and early treatment of complications, can improve (E1) patient survival (E1). There are promising vaccines and therapeutic candidates for MVD, but these must be proven in clinical trials.",healthcare access limitation
2024-DON537,,,No context,No context,"&nbsp;WHO has provided guidance to the Ministry of Health on how to manage cases. WHO assesses the risk of this outbreak as very high at the national level, high at the regional level, and low at the global level.&nbsp; Investigations are ongoing to determine the full extent of the outbreak and this risk assessment will be updated as more information is received.&nbsp;&nbsp;.",environment misc.
2024-DON534,contact with infected poultry or environments that have been contaminated,mild clinical symptoms,animal contact,symptom severity,This is the first human case of infection with a zoonotic influenza virus notified by Ghana. Laboratory testing confirmed the virus as an influenza A(H9N2) virus. The majority of human infections with A(H9N2) viruses occur due to (C1) contact with infected poultry or environments that have been contaminated (C1) and typically result in (E1) mild clinical symptoms (E1). Further human cases in persons with exposure to the virus in infected animals or through contaminated environments can be expected since the virus continues to be detected in poultry populations.,livestock production (local)
2024-DON534,capacity for sustained transmission among humans,likelihood of sustained human-to-human spread,disease spread,disease spread,"To date, there has been no reported sustained human-to-human transmission of A(H9N2) viruses. The existing epidemiological and virological evidence suggests that this virus has not acquired the (C1) capacity for sustained transmission among humans (C1). Thus, the (E1) likelihood of sustained human-to-human spread (E1) is low. Should infected individuals from affected areas travel internationally, their (C2) infection (C2) may be detected in another country during travel or after arrival.",Uncategorized
2024-DON534,infection,detection in another country,disease transmission,global surveillance,"To date, there has been no reported sustained human-to-human transmission of A(H9N2) viruses. The existing epidemiological and virological evidence suggests that this virus has not acquired the (C1) capacity for sustained transmission among humans (C1). Thus, the (E1) likelihood of sustained human-to-human spread (E1) is low. Should infected individuals from affected areas travel internationally, their (C2) infection (C2) may be detected in another country during travel or after arrival.",Uncategorized
2024-DON534,,,No context,No context,"However, if this occurs, further (E1) community-level spread (E1) is considered unlikely.",environment misc.
2024-DON532,exposure to swine influenza viruses through direct contact with infected swine or indirectly through contaminated environments,human cases with influenza A(H1N1)v virus infection,animal exposure,disease transmission,"Human infections with swine-origin influenza viruses have been reported in recent years from many countries. Most human cases with influenza A(H1N1)v virus infection result from (C1) exposure to swine influenza viruses through direct contact with infected swine (C1) or (C1) indirectly through contaminated environments (C1). However, a few cases have been reported without an apparent source of exposure to swine in the weeks prior to illness onset.",livelihood resilience
