country,number,title,date,url
Albania,2003/093,Phytoplasmas of fruit trees and grapevine in Albania,2003-06,https://gd.eppo.int/reporting/article-2079
Albania,2002/001,Situation of Diabrotica virgifera virgifera in the EPPO region,2002-01,https://gd.eppo.int/reporting/article-2164
Albania,2001/004,Record of Diabrotica virgifera in Albania is denied,2001-01,https://gd.eppo.int/reporting/article-2349
Albania,2001/003,Situation of Diabrotica virgifera virgifera in the EPPO region in 2000,2001-01,https://gd.eppo.int/reporting/article-2348
Albania,2000/174,Cameraria ohridella continues to spread in Europe,2000-11,https://gd.eppo.int/reporting/article-3205
Albania,2000/117,Diabrotica virgifera found in Albania,2000-07,https://gd.eppo.int/reporting/article-3148
Albania,2000/040,Details on the situation of Erwinia amylovora in Albania,2000-03,https://gd.eppo.int/reporting/article-3070
Albania,2000/031,Situation of Diabrotica virgifera in the EPPO region,2000-02,https://gd.eppo.int/reporting/article-3061
Albania,1999/137,First report of citrus tristeza closterovirus in Albania,1999-09,https://gd.eppo.int/reporting/article-3457
Albania,1996/74,Phytosanitary situation of fruit crops in Albania,1996-04,https://gd.eppo.int/reporting/article-4029
Albania,1994/178,Virus diseases of sweet and sour cherry in Albania,1994-09,https://gd.eppo.int/reporting/article-4668
Albania,1994/142,Plum pox potyvirus and other fruit tree viruses in Albania,1994-07,https://gd.eppo.int/reporting/article-4632
Albania,1993/197,New Phytosanitary Regulations,1993-11,https://gd.eppo.int/reporting/article-5022
Albania,1990/03,Absence of grapevine flavescence dorée MLO from Neareastern countries,1990-04,https://gd.eppo.int/reporting/article-5599
Albania,1990/02,Distribution of citrus tristeza closterovirus in Neareastern Countries,1990-04,https://gd.eppo.int/reporting/article-5598
Algeria,2025/249,Alien plant species in Algeria including new country records,2025-10,https://gd.eppo.int/reporting/article-8264
Algeria,2025/164,New data on quarantine pests and pests of the EPPO Alert List,2025-07,https://gd.eppo.int/reporting/article-8177
Algeria,2025/145,First report of Zaprionus tuberculatus in Algeria,2025-06,https://gd.eppo.int/reporting/article-8158
Algeria,2025/113,New data on quarantine pests and pests of the EPPO Alert List,2025-05,https://gd.eppo.int/reporting/article-8126
Algeria,2025/028,New data on quarantine pests and pests of the EPPO Alert List,2025-02,https://gd.eppo.int/reporting/article-8041
Algeria,2025/054,Arctotheca calendula in North Africa,2025-02,https://gd.eppo.int/reporting/article-8067
Algeria,2024/123,New data on quarantine pests and pests of the EPPO Alert List,2024-06,https://gd.eppo.int/reporting/article-7873
Algeria,2024/093,First report of Aeonium haworthii and Crassula ovata in Algeria,2024-04,https://gd.eppo.int/reporting/article-7843
Algeria,2024/032,First records of Dacus frontalis in Algeria and Morocco,2024-02,https://gd.eppo.int/reporting/article-7782
Algeria,2022/229,New data on quarantine pests and pests of the EPPO Alert List,2022-11,https://gd.eppo.int/reporting/article-7460
Algeria,2022/191,First report of Graphocephala versuta in Algeria and the EPPO region,2022-09,https://gd.eppo.int/reporting/article-7422
Algeria,2022/141,First report of Austrocylindropuntia cylindrica in Algeria,2022-06,https://gd.eppo.int/reporting/article-7372
Algeria,2021/235,New data on quarantine pests and pests of the EPPO Alert List,2021-11,https://gd.eppo.int/reporting/article-7174
Algeria,2021/166,New data on quarantine pests and pests of the EPPO Alert List,2021-08,https://gd.eppo.int/reporting/article-7105
Algeria,2021/062,Studies on potato cyst nematodes in Algeria,2021-03,https://gd.eppo.int/reporting/article-7001
Algeria,2020/210,New data on quarantine pests and pests of the EPPO Alert List,2020-10,https://gd.eppo.int/reporting/article-6888
Algeria,2020/183,Checklist of alien flora of Algeria,2020-08,https://gd.eppo.int/reporting/article-6861
Algeria,2020/048,New data on quarantine pests and pests of the EPPO Alert List,2020-03,https://gd.eppo.int/reporting/article-6726
Algeria,2020/043,First report of Anredera cordifolia in Algeria,2020-02,https://gd.eppo.int/reporting/article-6721
Algeria,2020/044,"Melia azedarach, Canna indica and Pelargonium zonale in Algeria",2020-02,https://gd.eppo.int/reporting/article-6722
Algeria,2019/239,First report of Tomato leaf curl New Delhi virus in Algeria,2019-11,https://gd.eppo.int/reporting/article-6669
Algeria,2019/186,Survey on Globodera pallida and G. rostochiensis in Algeria,2019-09,https://gd.eppo.int/reporting/article-6616
Algeria,2019/177,New data on quarantine pests and pests of the EPPO Alert List,2019-09,https://gd.eppo.int/reporting/article-6607
Algeria,2017/186,First report of Cacyreus marshalli in Algeria,2017-10,https://gd.eppo.int/reporting/article-6154
Algeria,2017/145,New data on quarantine pests and pests of the EPPO Alert List,2017-08,https://gd.eppo.int/reporting/article-6113
Algeria,2017/100,Survey on potato cyst nematodes in Algeria,2017-05,https://gd.eppo.int/reporting/article-6068
Algeria,2016/010,First reports of Macrohomotoma gladiata in Italy and Algeria,2016-01,https://gd.eppo.int/reporting/article-5178
Algeria,2014/216,New data on quarantine pests and pests of the EPPO Alert List,2014-11,https://gd.eppo.int/reporting/article-3309
Algeria,2014/175,First reports of alien plants in Algeria,2014-09,https://gd.eppo.int/reporting/article-3268
Algeria,2012/130,"EPPO/NEPPO Workshop on Surveillance (Alger, 2012-09-18/20)",2012-06,https://gd.eppo.int/reporting/article-1957
Algeria,2011/129,First report of Erwinia amylovora in Algeria,2011-06,https://gd.eppo.int/reporting/article-1698
Algeria,2011/104,First report of Aphis illinoisensis in Algeria,2011-05,https://gd.eppo.int/reporting/article-238
Algeria,2011/088,New data on quarantine pests and pests of the EPPO Alert List,2011-04,https://gd.eppo.int/reporting/article-205
Algeria,2010/163,New records of alien plants in Algeria,2010-09,https://gd.eppo.int/reporting/article-621
Algeria,2010/093,"Biology and ecology of Kochia scoparia, an invasive species in Algeria",2010-04,https://gd.eppo.int/reporting/article-505
Algeria,2008/135,First record of Tuta absoluta in Algeria,2008-07,https://gd.eppo.int/reporting/article-758
Algeria,2006/124,First report of brittle leaf disease of date palm (maladie des feuilles cassantes) in Algeria,2006-06,https://gd.eppo.int/reporting/article-1090
Algeria,2003/072,Additional information on Citrus tristeza closterovirus in Algeria,2003-05,https://gd.eppo.int/reporting/article-2058
Algeria,2003/052,Isolated finding of Citrus tristeza closterovirus in Algeria,2003-04,https://gd.eppo.int/reporting/article-2038
Algeria,2002/092,Update on the situation of Pepino mosaic potexvirus in the EPPO region,2002-06,https://gd.eppo.int/reporting/article-2256
Algeria,2002/055,Clavibacter michiganensis subsp. michiganensis does not occur in Algeria,2002-04,https://gd.eppo.int/reporting/article-2218
Algeria,2001/197,Details on quarantine pests in Algeria,2001-11,https://gd.eppo.int/reporting/article-3022
Algeria,2001/090,Clavibacter michiganensis subsp. michiganensis occurs in Algeria,2001-05,https://gd.eppo.int/reporting/article-2915
Algeria,1999/072,Algeria again a member country of EPPO,1999-05,https://gd.eppo.int/reporting/article-3392
Algeria,1998/169,Tomato yellow leaf curl bigeminivirus occurs in Algeria,1998-09,https://gd.eppo.int/reporting/article-3678
Algeria,1990/12,The spread of Bayoud disease of Date Palm in North Africa,1990-05,https://gd.eppo.int/reporting/article-5612
Algeria,1990/01,"Key points at Third Arab Congress of Plant Protection, El Ain (United Arab Emirates),1988-12-05/09",1990-04,https://gd.eppo.int/reporting/article-5597
Algeria,1990/02,Distribution of citrus tristeza closterovirus in Neareastern Countries,1990-04,https://gd.eppo.int/reporting/article-5598
Algeria,1990/03,Absence of grapevine flavescence dorée MLO from Neareastern countries,1990-04,https://gd.eppo.int/reporting/article-5599
Algeria,1990/04,Situation of several viruses and MLOs in Neareastern countries,1990-04,https://gd.eppo.int/reporting/article-5600
Algeria,1988/04,Fusarium oxysporum f.sp. albedinis,1988-05,https://gd.eppo.int/reporting/article-5690
American Samoa,2016/200,Management success of three invasive alien plant species in a Central European National Park,2016-10,https://gd.eppo.int/reporting/article-5945
American Samoa,1999/034,New data on quarantine pests,1999-03,https://gd.eppo.int/reporting/article-3354
American Samoa,1998/83,"New records for the Federated States of Micronesia, Palau, Marshall islands and American Samoa",1998-05,https://gd.eppo.int/reporting/article-3592
Andorra,2020/235,New data on quarantine pests and pests of the EPPO Alert List,2020-11,https://gd.eppo.int/reporting/article-6913
Angola,2020/196,First report of ‘Candidatus Liberibacter africanus’ in Angola,2020-09,https://gd.eppo.int/reporting/article-6874
Angola,2018/068,New data on quarantine pests and pests of the EPPO Alert List,2018-04,https://gd.eppo.int/reporting/article-6262
Angola,2017/213,Spodoptera frugiperda continues to spread in Africa,2017-11,https://gd.eppo.int/reporting/article-6181
Angola,2017/191,Spodoptera frugiperda continues to spread in Africa,2017-10,https://gd.eppo.int/reporting/article-6159
Angola,2008/218,New records of Bactrocera invadens in Africa,2008-11,https://gd.eppo.int/reporting/article-841
Angola,2008/061,First report of Citrus tristeza virus in Angola and São Tomé e Príncipe,2008-03,https://gd.eppo.int/reporting/article-593
Antigua and Barbuda,2008/062,New data on quarantine pests and pests on the EPPO Alert List,2008-03,https://gd.eppo.int/reporting/article-596
Antigua and Barbuda,2001/156,News from the Caribbean,2001-09,https://gd.eppo.int/reporting/article-2981
Antigua and Barbuda,1998/214,"Xanthomonas vesicatoria in Antigua, Grenada, St Kitts and St Lucia",1998-11,https://gd.eppo.int/reporting/article-3723
Argentina,2025/236,First reports of Leptodelphax maculigera in Argentina and Paraguay,2025-10,https://gd.eppo.int/reporting/article-8251
Argentina,2025/229,New data on quarantine pests and pests of the EPPO Alert List,2025-10,https://gd.eppo.int/reporting/article-8244
Argentina,2025/127,Pyricularia oryzae Triticum lineage causing wheat blast: addition to the Alert List,2025-05,https://gd.eppo.int/reporting/article-8140
Argentina,2025/113,New data on quarantine pests and pests of the EPPO Alert List,2025-05,https://gd.eppo.int/reporting/article-8126
Argentina,2024/249,Pseudomonas syringae pv. actinidiae does not occur in Argentina,2024-11,https://gd.eppo.int/reporting/article-7999
Argentina,2024/123,New data on quarantine pests and pests of the EPPO Alert List,2024-06,https://gd.eppo.int/reporting/article-7873
Argentina,2023/194,New data on quarantine pests and pests of the EPPO Alert List,2023-09,https://gd.eppo.int/reporting/article-7676
Argentina,2023/182,First report of Euwallacea fornicatus in Argentina,2023-08,https://gd.eppo.int/reporting/article-7664
Argentina,2023/167,First report of tomato brown rugose fruit virus in Argentina,2023-07,https://gd.eppo.int/reporting/article-7649
Argentina,2023/064,Globodera pallida is absent from Argentina,2023-03,https://gd.eppo.int/reporting/article-7546
Argentina,2022/181,New data on quarantine pests and pests of the EPPO Alert List,2022-09,https://gd.eppo.int/reporting/article-7412
Argentina,2022/143,New data on quarantine pests and pests of the EPPO Alert List,2022-07,https://gd.eppo.int/reporting/article-7374
Argentina,2021/027,New data on quarantine pests and pests of the EPPO Alert List,2021-02,https://gd.eppo.int/reporting/article-6966
Argentina,2020/158,New data on quarantine pests and pests of the EPPO Alert List,2020-08,https://gd.eppo.int/reporting/article-6836
Argentina,2020/112,New data on quarantine pests and pests of the EPPO Alert List,2020-06,https://gd.eppo.int/reporting/article-6790
Argentina,2020/003,New data on quarantine pests and pests of the EPPO Alert List,2020-01,https://gd.eppo.int/reporting/article-6681
Argentina,2018/200,Update on the situation of huanglongbing in Argentina,2018-10,https://gd.eppo.int/reporting/article-6394
Argentina,2018/049,New data on quarantine pests and pests of the EPPO Alert List,2018-03,https://gd.eppo.int/reporting/article-6243
Argentina,2018/012,First report of Pseudomonas syringae pv. actinidiae in Argentina,2018-01,https://gd.eppo.int/reporting/article-6206
Argentina,2018/002,New data on quarantine pests and pests of the EPPO Alert List,2018-01,https://gd.eppo.int/reporting/article-6196
Argentina,2017/079,First reports of Xylosandrus crassiusculus in Argentina and Uruguay,2017-04,https://gd.eppo.int/reporting/article-6047
Argentina,2016/182,New data on quarantine pests and pests of the EPPO Alert List,2016-10,https://gd.eppo.int/reporting/article-5927
Argentina,2015/137,New data on quarantine pests and pests of the EPPO Alert List,2015-07,https://gd.eppo.int/reporting/article-4935
Argentina,2015/115,Incursions of ‘Candidatus Liberibacter asiaticus’ in Argentina,2015-06,https://gd.eppo.int/reporting/article-4780
Argentina,2015/100,Globodera ellingtonae: a new potato cyst nematode,2015-05,https://gd.eppo.int/reporting/article-4765
Argentina,2015/079,New data on quarantine pests and pests of the EPPO Alert List,2015-04,https://gd.eppo.int/reporting/article-4744
Argentina,2014/203,Xylella fastidiosa detected for the first time on olive trees in Argentina,2014-11,https://gd.eppo.int/reporting/article-3296
Argentina,2014/150,New data on quarantine pests and pests of the EPPO Alert List,2014-08,https://gd.eppo.int/reporting/article-3243
Argentina,2014/105,First report of Helicoverpa armigera in Paraguay and Argentina,2014-06,https://gd.eppo.int/reporting/article-2825
Argentina,2014/053,New data on quarantine pests and pests of the EPPO Alert List,2014-03,https://gd.eppo.int/reporting/article-2773
Argentina,2013/083,First report of Pantoea stewartii in Argentina,2013-04,https://gd.eppo.int/reporting/article-2545
Argentina,2012/236,Eradication of citrus huanglongbing in Argentina,2012-11,https://gd.eppo.int/reporting/article-2442
Argentina,2012/183,First report of citrus huanglongbing in Argentina,2012-09,https://gd.eppo.int/reporting/article-2389
Argentina,2011/098,"2nd World Conference on Biological Invasions and Ecosystem Functioning, Mar del Plata (AR), 2011-11-21/24",2011-04,https://gd.eppo.int/reporting/article-225
Argentina,2011/003,New data on quarantine pests and pests of the EPPO Alert List,2011-01,https://gd.eppo.int/reporting/article-40
Argentina,2009/181,Tobacco ringspot nepovirus and Tomato ringspot nepovirus are absent from Argentina,2009-09,https://gd.eppo.int/reporting/article-379
Argentina,2009/182,New data on quarantine pests and pests of the EPPO Alert List,2009-09,https://gd.eppo.int/reporting/article-380
Argentina,2009/055,New data on quarantine pests and pests of the EPPO Alert List,2009-03,https://gd.eppo.int/reporting/article-155
Argentina,2009/034,Potato spindle tuber viroid no longer occurs in Argentina,2009-02,https://gd.eppo.int/reporting/article-118
Argentina,2009/007,New species of Phytophthora,2009-01,https://gd.eppo.int/reporting/article-67
Argentina,2008/062,New data on quarantine pests and pests on the EPPO Alert List,2008-03,https://gd.eppo.int/reporting/article-596
Argentina,2006/095,New data on quarantine pests and pests of the EPPO Alert List,2006-05,https://gd.eppo.int/reporting/article-1015
Argentina,2006/051,Detailed situation of Plum pox potyvirus in Argentina,2006-03,https://gd.eppo.int/reporting/article-955
Argentina,2005/121,Recent records of Fusarium wilt of Phoenix canariensis,2005-08,https://gd.eppo.int/reporting/article-1453
Argentina,2005/019,First report of Plum pox potyvirus in Argentina,2005-02,https://gd.eppo.int/reporting/article-1351
Argentina,2004/118,New data on quarantine pests and pests of the EPPO Alert List,2004-08,https://gd.eppo.int/reporting/article-1639
Argentina,2004/083,New data on quarantine pests and pests of the EPPO Alert List,2004-06,https://gd.eppo.int/reporting/article-1604
Argentina,2003/099,New data on quarantine pests and pests of the EPPO Alert List,2003-07,https://gd.eppo.int/reporting/article-2085
Argentina,2002/045,Survey on tospoviruses of tomato crops in Argentina,2002-03,https://gd.eppo.int/reporting/article-2208
Argentina,2001/118,New data on quarantine pests and pests of the EPPO Alert List,2001-07,https://gd.eppo.int/reporting/article-2943
Argentina,2000/148,New data on quarantine pests and pests of the EPPO Alert List,2000-10,https://gd.eppo.int/reporting/article-3179
Argentina,2000/022,New data on quarantine pests,2000-02,https://gd.eppo.int/reporting/article-3052
Argentina,2000/006,"New records or new detailed records on quarantine pests in Argentina, Brazil and Chile",2000-01,https://gd.eppo.int/reporting/article-3036
Argentina,2000/007,Tospoviruses in Argentina,2000-01,https://gd.eppo.int/reporting/article-3037
Argentina,2000/004,New data on quarantine pests or pests of the Alert List,2000-01,https://gd.eppo.int/reporting/article-3034
Argentina,1999/094,New data on quarantine pests,1999-06,https://gd.eppo.int/reporting/article-3414
Argentina,1999/026,7th ICPP: new or detailed geographical records concerning quarantine pests,1999-02,https://gd.eppo.int/reporting/article-3346
Argentina,1998/123,Guignardia citricarpa is present in Argentina,1998-07,https://gd.eppo.int/reporting/article-3632
Argentina,1998/109,Outbreak of Mal de Río Cuarto in Argentina,1998-06,https://gd.eppo.int/reporting/article-3618
Argentina,1998/42,New data on quarantine pests,1998-03,https://gd.eppo.int/reporting/article-3551
Argentina,1998/22,New data on quarantine pests,1998-02,https://gd.eppo.int/reporting/article-3531
Argentina,1998/18,Nematodes in Argentina,1998-01,https://gd.eppo.int/reporting/article-3527
Argentina,1997/203,New data concerning quarantine pests,1997-11,https://gd.eppo.int/reporting/article-3932
Argentina,1997/105,Parasitoids of Anastrepha fraterculus and Ceratitis capitata in Argentina,1997-05,https://gd.eppo.int/reporting/article-3834
Argentina,1997/088,New data on pests of quarantine importance,1997-05,https://gd.eppo.int/reporting/article-3817
Argentina,1997/73,Further spread of ergot disease of sorghum,1997-04,https://gd.eppo.int/reporting/article-3802
Argentina,1997/84,Loss estimates on soybean crops due to diseases and nematodes,1997-04,https://gd.eppo.int/reporting/article-3813
Argentina,1991/01,Fruit flies on peach in Argentina,1991-06,https://gd.eppo.int/reporting/article-5408
Armenia,2025/076,First report of Bursaphelenchus xylophilus in Armenia,2025-03,https://gd.eppo.int/reporting/article-8089
Armenia,2024/234,New data on quarantine pests and pests of the EPPO Alert List,2024-11,https://gd.eppo.int/reporting/article-7984
Armenia,2023/044,New records of Hishimonus species in the EPPO region,2023-02,https://gd.eppo.int/reporting/article-7526
Armenia,2023/003,Recent additions to the quarantine lists of the Eurasian Economic Union (EAEU),2023-01,https://gd.eppo.int/reporting/article-7485
Armenia,2022/229,New data on quarantine pests and pests of the EPPO Alert List,2022-11,https://gd.eppo.int/reporting/article-7460
Armenia,2022/144,Recent additions to the quarantine lists of the Eurasian Economic Union (EAEU),2022-07,https://gd.eppo.int/reporting/article-7375
Armenia,2021/166,New data on quarantine pests and pests of the EPPO Alert List,2021-08,https://gd.eppo.int/reporting/article-7105
Armenia,2020/236,Update on the situation of quarantine pests in Armenia,2020-11,https://gd.eppo.int/reporting/article-6914
Armenia,2020/091,New data on quarantine pests and pests of the EPPO Alert List,2020-05,https://gd.eppo.int/reporting/article-6769
Armenia,2019/050,Recent additions to the quarantine list of the Eurasian Economic Union (EAEU),2019-03,https://gd.eppo.int/reporting/article-6480
Armenia,2017/146,Quarantine list of the Eurasian Economic Union (EAEU),2017-08,https://gd.eppo.int/reporting/article-6114
Armenia,2013/120,Ralstonia solanacearum does not occur in Armenia,2013-06,https://gd.eppo.int/reporting/article-2582
Armenia,1990/08,Fireblight in Armenian SSR,1990-06,https://gd.eppo.int/reporting/article-5623
Aruba,1999/177,News from the Caribbean,1999-11,https://gd.eppo.int/reporting/article-3497
Australia,2025/229,New data on quarantine pests and pests of the EPPO Alert List,2025-10,https://gd.eppo.int/reporting/article-8244
Australia,2025/245,Phytophthora mediterranea: an emerging pest of woody trees,2025-10,https://gd.eppo.int/reporting/article-8260
Australia,2025/139,New data on quarantine pests and pests of the EPPO Alert List,2025-06,https://gd.eppo.int/reporting/article-8152
Australia,2025/086,New data on quarantine pests and pests of the EPPO Alert List,2025-04,https://gd.eppo.int/reporting/article-8099
Australia,2025/055,New data on quarantine pests and pests of the EPPO Alert List,2025-03,https://gd.eppo.int/reporting/article-8068
Australia,2025/028,New data on quarantine pests and pests of the EPPO Alert List,2025-02,https://gd.eppo.int/reporting/article-8041
Australia,2024/244,Host plants of Euwallacea fornicatus in Australia,2024-11,https://gd.eppo.int/reporting/article-7994
Australia,2024/172,First report of tomato brown rugose fruit virus in Australia,2024-08,https://gd.eppo.int/reporting/article-7922
Australia,2023/240,Internet trade of invasive alien plants in Australia,2023-10,https://gd.eppo.int/reporting/article-7722
Australia,2023/129,New data on quarantine pests and pests of the EPPO Alert List,2023-06,https://gd.eppo.int/reporting/article-7611
Australia,2023/079,New data on quarantine pests and pests of the EPPO Alert List,2023-04,https://gd.eppo.int/reporting/article-7561
Australia,2023/001,New data on quarantine pests and pests of the EPPO Alert List,2023-01,https://gd.eppo.int/reporting/article-7483
Australia,2022/241,First report of Meloidogyne enterolobii in Australia,2022-11,https://gd.eppo.int/reporting/article-7472
Australia,2022/219,First report of Grapevine red blotch virus in Australia in grapevine collections,2022-10,https://gd.eppo.int/reporting/article-7450
Australia,2022/176,Biological control of Tradescantia fluminensis in Australia and New Zealand,2022-08,https://gd.eppo.int/reporting/article-7407
Australia,2022/138,Biological control of Cabomba caroliniana in Australia,2022-06,https://gd.eppo.int/reporting/article-7369
Australia,2022/096,New data on quarantine pests and pests of the EPPO Alert List,2022-05,https://gd.eppo.int/reporting/article-7327
Australia,2022/052,New data on quarantine pests and pests of the EPPO Alert List,2022-03,https://gd.eppo.int/reporting/article-7283
Australia,2022/001,New data on quarantine pests and pests of the EPPO Alert List,2022-01,https://gd.eppo.int/reporting/article-7231
Australia,2021/207,New data on quarantine pests and pests of the EPPO Alert List,2021-10,https://gd.eppo.int/reporting/article-7146
Australia,2021/096,New data on quarantine pests and pests of the EPPO Alert List,2021-05,https://gd.eppo.int/reporting/article-7035
Australia,2021/092,Potential for the biological control of Lycium ferocissimum in Australia,2021-04,https://gd.eppo.int/reporting/article-7031
Australia,2021/011,"Spodoptera frugiperda found in New South Wales, Australia",2021-01,https://gd.eppo.int/reporting/article-6950
Australia,2021/001,New data on quarantine pests and pests of the EPPO Alert List,2021-01,https://gd.eppo.int/reporting/article-6940
Australia,2020/235,New data on quarantine pests and pests of the EPPO Alert List,2020-11,https://gd.eppo.int/reporting/article-6913
Australia,2020/184,New data on quarantine pests and pests of the EPPO Alert List,2020-09,https://gd.eppo.int/reporting/article-6862
Australia,2020/093,Spodoptera frugiperda continues to spread in Australia,2020-05,https://gd.eppo.int/reporting/article-6771
Australia,2020/071,"Spodoptera frugiperda detected in Northern Territory, Australia",2020-04,https://gd.eppo.int/reporting/article-6749
Australia,2020/031,First report of Spodoptera frugiperda in Australia,2020-02,https://gd.eppo.int/reporting/article-6709
Australia,2019/223,New data on quarantine pests and pests of the EPPO Alert List,2019-11,https://gd.eppo.int/reporting/article-6653
Australia,2019/084,First report of Cylindropuntia fulgida in Spain,2019-04,https://gd.eppo.int/reporting/article-6514
Australia,2019/019,Ralstonia solanacearum is absent from Western Australia (AU),2019-01,https://gd.eppo.int/reporting/article-6449
Australia,2018/229,Impatiens necrotic spot orthotospovirus detected in Australia,2018-11,https://gd.eppo.int/reporting/article-6423
Australia,2018/177,Review of the distribution of Zeugodacus cucumis in Australia,2018-09,https://gd.eppo.int/reporting/article-6371
Australia,2018/173,New data on quarantine pests and pests of the EPPO Alert List,2018-09,https://gd.eppo.int/reporting/article-6367
Australia,2018/101,Xanthomonas citri subsp. citri found again in Australia,2018-05,https://gd.eppo.int/reporting/article-6295
Australia,2018/068,New data on quarantine pests and pests of the EPPO Alert List,2018-04,https://gd.eppo.int/reporting/article-6262
Australia,2017/210,First report of Tetranychus evansi in Australia,2017-11,https://gd.eppo.int/reporting/article-6178
Australia,2017/206,New data on quarantine pests and pests of the EPPO Alert List,2017-11,https://gd.eppo.int/reporting/article-6174
Australia,2017/148,Rhynchophorus ferrugineus does not occur in Australia,2017-08,https://gd.eppo.int/reporting/article-6116
Australia,2017/145,New data on quarantine pests and pests of the EPPO Alert List,2017-08,https://gd.eppo.int/reporting/article-6113
Australia,2017/113,New data on quarantine pests and pests of the EPPO Alert List,2017-06,https://gd.eppo.int/reporting/article-6081
Australia,2017/053,New data on quarantine pests and pests of the EPPO Alert List,2017-03,https://gd.eppo.int/reporting/article-6021
Australia,2017/034,First report of Bactericera cockerelli in Australia,2017-02,https://gd.eppo.int/reporting/article-6002
Australia,2016/217,Potato spindle tuber viroid detected in volunteer and wild plants in Western Australia (AU),2016-11,https://gd.eppo.int/reporting/article-5962
Australia,2016/090,Host range testing casts doubt on the suitability of Epiblema strenuana as a biological control agent for Parthenium hysterophorus in Africa,2016-04,https://gd.eppo.int/reporting/article-5555
Australia,2015/137,New data on quarantine pests and pests of the EPPO Alert List,2015-07,https://gd.eppo.int/reporting/article-4935
Australia,2015/101,New data on quarantine pests and pests of the EPPO Alert List,2015-05,https://gd.eppo.int/reporting/article-4766
Australia,2014/130,First reports of Potato spindle tuber viroid and Citrus exocortis viroid in ornamental Solanaceae in Australia,2014-07,https://gd.eppo.int/reporting/article-3223
Australia,2014/116,New data on quarantine pests and pests of the EPPO Alert List,2014-06,https://gd.eppo.int/reporting/article-2836
Australia,2013/208,"Outcomes of the IUCN conference ‘Invasive alien species: the urban dimension’, Geneva (CH), 2013-09-05",2013-09,https://gd.eppo.int/reporting/article-2670
